A28102_at	ENSG00000011677	GABRA3
AB000114_at	ENSG00000127083	OMD
AB000115_at	ENSG00000137959	IFI44L
AB000220_at	ENSG00000075223	SEMA3C
AB000381_s_at	ENSG00000104499	GML
AB000410_s_at	ENSG00000114026	OGG1
AB000449_at	ENSG00000100749	VRK1
AB000450_at	ENSG00000028116	VRK2
AB000462_at	ENSG00000087266	SH3BP2
AB000468_at	ENSG00000063978	RNF4
AB000584_at	ENSG00000130513	GDF15
AB000816_s_at	ENSG00000133794	ARNTL
AB000895_at	ENSG00000166341	DCHS1
AB000896_at	ENSG00000253767	PCDHGA8
AB000896_at	ENSG00000253953	PCDHGB4
AB002315_at	ENSG00000119682	AREL1
AB002332_at	ENSG00000134852	CLOCK
AB002365_at	ENSG00000106772	PRUNE2
AB002366_at	ENSG00000136813	KIAA0368
AB002380_at	ENSG00000196914	ARHGEF12
AB003103_at	ENSG00000197170	PSMD12
AB003698_at	ENSG00000097046	CDC7
AB005535_s_at	ENSG00000134852	CLOCK
AB006781_s_at	ENSG00000171747	LGALS4
AC000061_cds3_at	ENSG00000001626	CFTR
AC000066_at	ENSG00000127914	AKAP9
AC000099_at	ENSG00000179603	GRM8
AC000115_cds1_at	ENSG00000102243	VGLL1
AC002045_xpt1_at	ENSG00000183426	NPIPA1
AC002045_xpt1_at	ENSG00000183793	NPIPA5
AC002045_xpt1_at	ENSG00000183889	AC138969.4
AC002045_xpt1_at	ENSG00000196696	PDXDC2P
AC002045_xpt1_at	ENSG00000214940	NPIPA8
AC002045_xpt1_at	ENSG00000224712	NPIPA3
AC002045_xpt1_at	ENSG00000226232	RP11-419C5.2
AC002045_xpt1_at	ENSG00000233024	RP11-1212A22.4
AC002045_xpt1_at	ENSG00000234719	RP11-166B2.1
AC002045_xpt1_at	ENSG00000254852	NPIPA2
AC002045_xpt1_at	ENSG00000270580	RP11-1186N24.5
AC002073_cds1_at	ENSG00000100100	PIK3IP1
AC002076_cds2_at	ENSG00000127928	GNGT1
AC002076_cds2_at	ENSG00000278388	GS1-345D13.1
AC002086_at	ENSG00000177485	ZBTB33
AC002450_at	ENSG00000004864	SLC25A13
AC002464_at	ENSG00000004809	SLC22A16
